"CMS","gene"
"CMS3","ALDH3A1"
"CMS3","PDE9A"
"CMS3","CYP3A5"
"CMS3","UGT1A8"
"CMS3","C2orf72"
"CMS3","SCNN1A"
"CMS3","PTPN13"
"CMS3","GPA33"
"CMS3","NMU"
"CMS3","ATP2A3"
"CMS3","TFAP2A"
"CMS3","MAOA"
"CMS3","SPINK1"
"CMS3","DACH1"
"CMS3","CPS1"
"CMS3","PADI2"
"CMS3","FOXA1"
"CMS3","MATN2"
"CMS3","KRT20"
"CMS3","HMGCS2"
"CMS3","PIGR"
"CMS3","CKB"
"CMS3","CA12"
"CMS3","IGFBP2"
"CMS3","PPP1R9A"
"CMS3","RAB3B"
"CMS3","LYZ"
"CMS3","ADGRF1"
"CMS3","LCN2"
"CMS3","LRP4"
"CMS3","CA9"
"CMS3","NOX1"
"CMS3","GAD1"
"CMS3","ALDH1A2"
"CMS3","PCLO"
"CMS3","CDHR1"
"CMS3","SLC4A4"
"CMS3","OLFM4"
"CMS3","DKK1"
"CMS3","FABP1"
"CMS3","SLCO1B3"
"CMS3","TM4SF4"
"CMS3","VGLL1"
"CMS4","SYDE1"
"CMS4","MRAS"
"CMS4","FERMT2"
"CMS4","GLI3"
"CMS4","MYL9"
"CMS4","EVC"
"CMS4","MAP1A"
"CMS4","FGFR1"
"CMS4","SERPINF1"
"CMS4","SPOCK1"
"CMS4","ATP8B2"
"CMS4","VIM"
"CMS4","DZIP1"
"CMS4","TIMP2"
"CMS4","FBLN1"
"CMS4","TNS1"
"CMS4","ANGPTL2"
"CMS4","ARHGEF17"
"CMS4","ANTXR1"
"CMS4","SYT11"
"CMS4","NRP2"
"CMS4","MFGE8"
"CMS4","LBH"
"CMS4","FBN1"
"CMS4","MPDZ"
"CMS4","COL6A2"
"CMS4","AXL"
"CMS4","PTPRM"
"CMS4","AKT3"
"CMS4","ZEB1"
"CMS4","TGFB1I1"
"CMS4","HSPB8"
"CMS4","FILIP1L"
"CMS4","TCF4"
"CMS4","C14orf132"
"CMS4","NOTCH3"
"CMS4","IL1R1"
"CMS4","TIMP3"
"CMS4","PKD2"
"CMS4","TUBB6"
"CMS4","CDH11"
"CMS4","LAMA4"
"CMS4","MRC2"
"CMS4","PTRF"
"CMS4","FHL1"
"CMS4","PLEKHO1"
"CMS4","DPYSL3"
"CMS4","ITGA5"
"CMS4","COPZ2"
"CMS4","MCC"
"CMS4","PCDH7"
"CMS4","APBB1"
"CMS4","LOX"
"CMS4","TMEM47"
"CMS4","PDLIM7"
"CMS4","INHBA"
"CMS4","SPON2"
"CMS4","COL18A1"
"CMS4","C16orf45"
"CMS4","CYBRD1"
"CMS4","CNTNAP1"
"CMS4","EML1"
"CMS4","TPM2"
"CMS4","TENM3"
"CMS4","CTGF"
"CMS4","GLI2"
"CMS4","NR3C1"
"CMS4","QKI"
"CMS4","FZD1"
"CMS4","DLC1"
"CMS4","NRP1"
"CMS4","MAP3K12"
"CMS4","COL6A1"
"CMS4","OSMR"
"CMS4","FLNA"
"CMS4","MYO5A"
"CMS4","MAP1B"
"CMS4","ZFHX4"
"CMS4","BASP1"
"CMS4","BCAT1"
"CMS4","GPR176"
"CMS4","RBMS1"
"CMS4","VGLL3"
"CMS4","ANK2"
"CMS4","GEM"
"CMS4","LTBP1"
"CMS4","COL4A2"
"CMS4","AKAP12"
"CMS4","LOXL1"
"CMS4","MMP14"
"CMS4","CYP1B1"
"CMS4","RUSC2"
"CMS4","CDH2"
"CMS4","CLIP4"
"CMS4","PDLIM4"
"CMS4","BICC1"
"CMS4","THBS1"
"CMS4","LOXL2"
"CMS4","SYNPO"
"CMS4","NUAK1"
"CMS4","RAI14"
"CMS4","TSPAN4"
"CMS4","CTSL"
"CMS4","LTBP3"
"CMS4","LAMB2"
"CMS4","ARL4C"
"CMS4","RASSF8"
"CMS4","SNAI2"
"CMS4","TRPV2"
"CMS4","TPST1"
"CMS4","JPH2"
"CMS4","SGCE"
"CMS4","TTC28"
"CMS4","CRIP2"
"CMS4","SV2A"
"CMS4","EMP3"
"CMS4","PMP22"
"CMS4","ALDH1A3"
"CMS4","APOE"
"CMS4","CHST3"
"CMS4","KIRREL"
"CMS4","ATP2B4"
"CMS4","NID1"
"CMS4","CLEC11A"
"CMS4","FNBP1"
"CMS4","OLFML3"
"CMS4","FAM129A"
"CMS4","CHST11"
"CMS4","RGL1"
"CMS4","UCHL1"
"CMS4","F2R"
"CMS4","WWTR1"
"CMS4","LAMA2"
"CMS4","PALLD"
"CMS4","UNC5B"
"CMS4","PCDHGC3"
"CMS4","GPX3"
"CMS4","SYNE1"
"CMS4","COL16A1"
"CMS4","FSTL3"
"CMS4","DTX3"
"CMS4","ITPR1"
"CMS4","MYH10"
"CMS4","SIRPA"
"CMS4","IGFBP6"
"CMS4","RDX"
"CMS4","ANXA6"
"CMS4","OLR1"
"CMS4","TUSC3"
"CMS4","SERPINE1"
"CMS4","ABCA1"
"CMS4","SCARA3"
"CMS4","SMARCA1"
"CMS4","SLC1A3"
"CMS4","ARMCX2"
"CMS4","TBC1D9"
"CMS4","SRPX"
"CMS4","PTPRS"
"CMS4","GPRC5B"
"CMS4","MDFIC"
"CMS4","ADAM19"
"CMS4","ADAMTSL4"
"CMS4","AOX1"
"CMS4","RUNX2"
"CMS4","RGS4"
"CMS4","FAM198B"
"CMS4","SYNC"
"CMS4","SMO"
"CMS4","SLC2A3"
"CMS4","CADM1"
"CMS4","HDGFRP3"
"CMS4","CRMP1"
"CMS4","HSPG2"
"CMS4","PMEPA1"
"CMS4","WWC2"
"CMS4","SORBS1"
"CMS4","PLAU"
"CMS4","GPC1"
"CMS4","LARP6"
"CMS4","PHLDA3"
"CMS4","NAV3"
"CMS4","OBSL1"
"CMS4","LEF1"
"CMS4","PAPPA"
"CMS4","SEMA7A"
"CMS4","FAM127A"
"CMS4","AMIGO2"
"CMS4","DMD"
"CMS4","FLNC"
"CMS4","WASF3"
"CMS4","FKBP10"
"CMS4","AHNAK2"
"CMS4","MPP1"
"CMS4","CALB2"
"CMS4","CRABP2"
"CMS4","CDIP1"
"CMS4","QPRT"
"CMS4","RBP1"
"CMS4","FST"
"CMS4","TGFB2"
"CMS4","L1CAM"
"CMS4","SRPX2"
"CMS4","PLTP"
"CMS4","STRA6"
"CMS4","FAM155A"
"CMS4","HDAC9"
"CMS4","S100A4"
"CMS4","ID4"
"CMS4","CST6"
"CMS4","PCDHGB6"
"CMS4","SCG2"
"CMS4","CST1"
"CMS4","NRXN3"
"CMS4","STMN3"
"CMS4","LY6G6D"
"CMS4","CACNG4"
"CMS4","IFIT1"
"CMS4","AP3B2"
"CMS4","FADS2"
"CMS4","GNG4"
"CMS4","MME"
"CMS4","C2orf54"
"CMS4","SCN5A"
"CMS4","PCDHGB5"
"CMS4","WNT11"
"CMS4","KRT17"
"CMS4","UPK2"
"CMS4","CYP2B6"
"CMS4","PTPRO"
"CMS4","EEF1A2"
"CMS4","DRD2"
"CMS4","CEL"
"CMS4","ACSL6"
"CMS4","CYP24A1"
"CMS4","DKK1"
"CMS4","EREG"
"CMS4","KRT23"
