SYMBOL	CATEGORY	LIST
TNFRSF11B		HALLMARK_EMT
TNFRSF12A		HALLMARK_EMT
TPM1		HALLMARK_EMT
TPM2		HALLMARK_EMT
TPM4		HALLMARK_EMT
VCAM1		HALLMARK_EMT
VCAN		HALLMARK_EMT
VEGFA		HALLMARK_EMT
VEGFC		HALLMARK_EMT
VIM		HALLMARK_EMT
WIPF1		HALLMARK_EMT
WNT5A		HALLMARK_EMT
