SYMBOL	CATEGORY	LIST
HIST1H2BF		Patel
KANSL1		Patel
ZNF433		Patel
ORM1		Patel
EIF4H		Patel
SLC5A9		Patel
GNL2		Patel
MIR320E		Patel
MIR4442		Patel
RPP25L		Patel
MIR877		Patel
MIR6891		Patel
HCLS1		Patel
KRT37		Patel
KRTAP5-1		Patel
KRTAP5-9		Patel
LILRA1		Patel
ELAVL1		Patel
TMED5		Patel
NAPG		Patel
SNRPE		Patel
MED16		Patel
PPP4C		Patel
GAS8-AS1		Patel
MPLKIP		Patel
C6orf136		Patel
CTBP1		Patel
RPL21		Patel
TTPAL		Patel
PICALM		Patel
RPLP0		Patel
WDR4		Patel
ERBIN		Patel
CDK3		Patel
CWC22		Patel
H2AFZ		Patel
TAF1L		Patel
COG8		Patel
SPDEF		Patel
SMC3		Patel
CASP7		Patel
ADGRG4		Patel
FARSA		Patel
ZNF561		Patel
OS9		Patel
CAPZA3		Patel
RUNX1T1		Patel
ICAM1		Patel
NHLRC4		Patel
MYH9		Patel
ZFYVE28		Patel
CRCP		Patel
PHF1		Patel
RRS1		Patel
S100G		Patel
CYP4F11		Patel
APOBEC2		Patel
UBE2K		Patel
MRPL14		Patel
UCKL1		Patel
SQSTM1		Patel
OPRPN		Patel
LRFN3		Patel
DYRK1A		Patel
APMAP		Patel
ZNF124		Patel
MUC1		Patel
BCORL1		Patel
MITF		Patel
SCD		Patel
SLC22A5		Patel
MAT2B		Patel
UXS1		Patel
GPBP1L1		Patel
GNRH1		Patel
HLA-F		Patel
SUPT4H1		Patel
TEX35		Patel
CYP2A7		Patel
COCH		Patel
ZNF850		Patel
QARS		Patel
EPRS		Patel
PRDX1		Patel
MAP7D3		Patel
SRP9		Patel
CA9		Patel
OR51Q1		Patel
EVPL		Patel
DPM2		Patel
CTNNA1		Patel
MED12		Patel
TAF1		Patel
F10		Patel
C5orf47		Patel
RPL22L1		Patel
MIR421		Patel
KMT2D		Patel
KMT2B		Patel
LAMTOR5		Patel
C12orf56		Patel
MLYCD		Patel
TMC3		Patel
DHH		Patel
ATP5PF		Patel
CCKAR		Patel
TOR1AIP1		Patel
MIR3064		Patel
YY1		Patel
CUL5		Patel
RPL34		Patel
FOXO3		Patel
APOO		Patel
NAA30		Patel
TAPBPL		Patel
CCL24		Patel
TP53TG5		Patel
MIR378F		Patel
MIR7856		Patel
TIMP1		Patel
E2F1		Patel
MIR6516		Patel
CCL27		Patel
TLR5		Patel
ZNF728		Patel
LCE1A		Patel
TAZ		Patel
WWTR1		Patel
MED24		Patel
MED22		Patel
MYO1B		Patel
ZSCAN18		Patel
LINGO3		Patel
RPL13		Patel
MRPL13		Patel
FZD4		Patel
AMZ2		Patel
PRSS23		Patel
RPAP2		Patel
TRAF1		Patel
GLIPR1L2		Patel
C16orf72		Patel
QKI		Patel
LAIR1		Patel
ZNF689		Patel
PSMC4		Patel
CCDC151		Patel
MAP4K2		Patel
OIP5		Patel
GMIP		Patel
ELOA		Patel
SELENOT		Patel
KANSL2		Patel
POU1F1		Patel
SLC4A7		Patel
TMEM209		Patel
SMARCA5		Patel
MCM10		Patel
FLCN		Patel
BUD23		Patel
CFDP1		Patel
RPS19		Patel
MED23		Patel
MAGEC3		Patel
TOMM6		Patel
MIR611		Patel
HIST1H2AC		Patel
PAM16		Patel
SYVN1		Patel
MADCAM1		Patel
PODN		Patel
ELP2		Patel
EIF3D		Patel
EIF3D		Patel
PRMT2		Patel
CLDN22		Patel
MIR4675		Patel
MIR1321		Patel
AVPR2		Patel
MIR3936		Patel
RARG		Patel
STX17		Patel
ATP6V1G3		Patel
SULT1E1		Patel
CENPQ		Patel
LYPD1		Patel
HOXC11		Patel
MIR4700		Patel
KRTAP23-1		Patel
ZNF415		Patel
