SYMBOL	CATEGORY	LIST
RPLP0		CAF
RPS18		CAF
RPS19		CAF
RPS23		CAF
RPS2		CAF
RPS3		CAF
RPS4X		CAF
RPSA		CAF
RTN4		CAF
RUNX1		CAF
S100A10		CAF
S100A11		CAF
S100A6		CAF
SAT1		CAF
SDC1		CAF
SDC2		CAF
SEC61B		CAF
SELENOM		CAF
SERP1		CAF
SERPINE2		CAF
SERPINF1		CAF
SERPING1		CAF
SERPINH1		CAF
SFRP2		CAF
SFRP4		CAF
SGCB		CAF
SLC24A3		CAF
SLC6A6		CAF
SMIM3		CAF
SOX4		CAF
SPARC		CAF
SPATS2L		CAF
SPHK1		CAF
SPOCK1		CAF
SPON1		CAF
SPON2		CAF
SRPX2		CAF
SSC5D		CAF
SSR3		CAF
STEAP1		CAF
SULF1		CAF
SULF2		CAF
SVIL		CAF
TCEAL9		CAF
TDO2		CAF
TEAD1		CAF
TGFB1I1		CAF
TGFBI		CAF
TGFBR1		CAF
THBS2		CAF
THY1		CAF
TIMP1		CAF
TIMP2		CAF
TIMP3		CAF
TMEM119		CAF
TMEM158		CAF
TMEM176A		CAF
TMEM176B		CAF
TMEM45A		CAF
TMSB10		CAF
TNC		CAF
TNFAIP6		CAF
TNFRSF12A		CAF
TNS3		CAF
TP53I3		CAF
TPBG		CAF
TPM1		CAF
TPM2		CAF
TPM4		CAF
TRAM1		CAF
TRPS1		CAF
TSHZ2		CAF
TSPAN4		CAF
TTC3		CAF
TUBA1A		CAF
TUBB		CAF
TWIST1		CAF
TYMP		CAF
UBC		CAF
UNC5B		CAF
VASN		CAF
VCAM1		CAF
VCAN		CAF
VEGFB		CAF
VMP1		CAF
WFDC1		CAF
WISP1		CAF
WNT2		CAF
WNT5A		CAF
YBX3		CAF
