TERM	SYMBOL	CATEGORY	LIST
Insulin	AKT1		Manuela
JAK-STAT	AKT1		Manuela
MAPK	AKT1		Manuela
mTOR	AKT1		Manuela
Phospholipase D	AKT1		Manuela
PI3K-Akt	AKT1		Manuela
Rap1	AKT1		Manuela
Ras	AKT1		Manuela
Sphingolipid	AKT1		Manuela
Thyroid hormone	AKT1		Manuela
TNF	AKT1		Manuela
VEGF	AKT1		Manuela
AMPK	AKT1S1		Manuela
mTOR	AKT1S1		Manuela
AMPK	AKT2		Manuela
Apelin	AKT2		Manuela
cAMP	AKT2		Manuela
cGMP-PKG	AKT2		Manuela
Chemokine	AKT2		Manuela
ErbB	AKT2		Manuela
Estrogen	AKT2		Manuela
FoxO	AKT2		Manuela
HIF-1	AKT2		Manuela
Insulin	AKT2		Manuela
JAK-STAT	AKT2		Manuela
MAPK	AKT2		Manuela
mTOR	AKT2		Manuela
Phospholipase D	AKT2		Manuela
PI3K-Akt	AKT2		Manuela
Rap1	AKT2		Manuela
Ras	AKT2		Manuela
Sphingolipid	AKT2		Manuela
Thyroid hormone	AKT2		Manuela
TNF	AKT2		Manuela
VEGF	AKT2		Manuela
AMPK	AKT3		Manuela
Apelin	AKT3		Manuela
cAMP	AKT3		Manuela
cGMP-PKG	AKT3		Manuela
Chemokine	AKT3		Manuela
ErbB	AKT3		Manuela
Estrogen	AKT3		Manuela
FoxO	AKT3		Manuela
HIF-1	AKT3		Manuela
Insulin	AKT3		Manuela
JAK-STAT	AKT3		Manuela
MAPK	AKT3		Manuela
mTOR	AKT3		Manuela
Phospholipase D	AKT3		Manuela
PI3K-Akt	AKT3		Manuela
Rap1	AKT3		Manuela
Ras	AKT3		Manuela
Sphingolipid	AKT3		Manuela
Thyroid hormone	AKT3		Manuela
TNF	AKT3		Manuela
VEGF	AKT3		Manuela
HIF-1	ALDOA		Manuela
cAMP	AMH		Manuela
Cytokine-cytokine receptor interaction	AMH		Manuela
Hippo	AMH		Manuela
TGF-beta	AMH		Manuela
Cytokine-cytokine receptor interaction	AMHR2		Manuela
TGF-beta	AMHR2		Manuela
Hippo	AMOT		Manuela
Cell cycle	ANAPC1		Manuela
Cell cycle	ANAPC10		Manuela
Cell cycle	ANAPC11		Manuela
Cell cycle	ANAPC13		Manuela
Cell cycle	ANAPC2		Manuela
Cell cycle	ANAPC4		Manuela
Cell cycle	ANAPC5		Manuela
Cell cycle	ANAPC7		Manuela
HIF-1	ANGPT1		Manuela
MAPK	ANGPT1		Manuela
PI3K-Akt	ANGPT1		Manuela
Rap1	ANGPT1		Manuela
Ras	ANGPT1		Manuela
HIF-1	ANGPT2		Manuela
MAPK	ANGPT2		Manuela
PI3K-Akt	ANGPT2		Manuela
Rap1	ANGPT2		Manuela
Ras	ANGPT2		Manuela
HIF-1	ANGPT4		Manuela
MAPK	ANGPT4		Manuela
PI3K-Akt	ANGPT4		Manuela
Rap1	ANGPT4		Manuela
Ras	ANGPT4		Manuela
PPAR	ANGPTL4		Manuela
JAK-STAT	AOX1		Manuela
p53	APAF1		Manuela
Rap1	APBB1IP		Manuela
Hippo	APC		Manuela
Wnt	APC		Manuela
Hippo	APC2		Manuela
Wnt	APC2		Manuela
Notch	APH1A		Manuela
Notch	APH1B		Manuela
Apelin	APLN		Manuela
Apelin	APLNR		Manuela
PPAR	APOA1		Manuela
PPAR	APOA2		Manuela
PPAR	APOA5		Manuela
PPAR	APOC3		Manuela
PPAR	AQP7		Manuela
ErbB	ARAF		Manuela
FoxO	ARAF		Manuela
Insulin	ARAF		Manuela
MAPK	ARAF		Manuela
cAMP	ARAP3		Manuela
Rap1	ARAP3		Manuela
ErbB	AREG		Manuela
Hippo	AREG		Manuela
MAPK	AREG		Manuela
PI3K-Akt	AREG		Manuela
Phospholipase D	ARF1		Manuela
Phospholipase D	ARF6		Manuela
Ras	ARF6		Manuela
HIF-1	ARNT		Manuela
Chemokine	ARRB1		Manuela
Hedgehog	ARRB1		Manuela
MAPK	ARRB1		Manuela
Chemokine	ARRB2		Manuela
Hedgehog	ARRB2		Manuela
MAPK	ARRB2		Manuela
Sphingolipid	ASAH1		Manuela
Sphingolipid	ASAH2		Manuela
cGMP-PKG	ATF2		Manuela
Estrogen	ATF2		Manuela
MAPK	ATF2		Manuela
PI3K-Akt	ATF2		Manuela
TNF	ATF2		Manuela
cGMP-PKG	ATF4		Manuela
Estrogen	ATF4		Manuela
MAPK	ATF4		Manuela
PI3K-Akt	ATF4		Manuela
TNF	ATF4		Manuela
cGMP-PKG	ATF6B		Manuela
Estrogen	ATF6B		Manuela
PI3K-Akt	ATF6B		Manuela
TNF	ATF6B		Manuela
FoxO	ATG12		Manuela
Cell cycle	ATM		Manuela
FoxO	ATM		Manuela
NF-kappa B	ATM		Manuela
p53	ATM		Manuela
cAMP	ATP1A1		Manuela
cGMP-PKG	ATP1A1		Manuela
Thyroid hormone	ATP1A1		Manuela
cAMP	ATP1A2		Manuela
cGMP-PKG	ATP1A2		Manuela
Thyroid hormone	ATP1A2		Manuela
cAMP	ATP1A3		Manuela
cGMP-PKG	ATP1A3		Manuela
Thyroid hormone	ATP1A3		Manuela
cAMP	ATP1A4		Manuela
cGMP-PKG	ATP1A4		Manuela
Thyroid hormone	ATP1A4		Manuela
cAMP	ATP1B1		Manuela
cGMP-PKG	ATP1B1		Manuela
Thyroid hormone	ATP1B1		Manuela
cAMP	ATP1B2		Manuela
cGMP-PKG	ATP1B2		Manuela
Thyroid hormone	ATP1B2		Manuela
cAMP	ATP1B3		Manuela
cGMP-PKG	ATP1B3		Manuela
Thyroid hormone	ATP1B3		Manuela
cAMP	ATP1B4		Manuela
cGMP-PKG	ATP1B4		Manuela
Thyroid hormone	ATP1B4		Manuela
Calcium	ATP2A1		Manuela
cGMP-PKG	ATP2A1		Manuela
Calcium	ATP2A2		Manuela
cAMP	ATP2A2		Manuela
cGMP-PKG	ATP2A2		Manuela
Thyroid hormone	ATP2A2		Manuela
Calcium	ATP2A3		Manuela
cGMP-PKG	ATP2A3		Manuela
Calcium	ATP2B1		Manuela
cAMP	ATP2B1		Manuela
cGMP-PKG	ATP2B1		Manuela
Calcium	ATP2B2		Manuela
cAMP	ATP2B2		Manuela
cGMP-PKG	ATP2B2		Manuela
Calcium	ATP2B3		Manuela
cAMP	ATP2B3		Manuela
cGMP-PKG	ATP2B3		Manuela
Calcium	ATP2B4		Manuela
cAMP	ATP2B4		Manuela
cGMP-PKG	ATP2B4		Manuela
mTOR	ATP6V1A		Manuela
mTOR	ATP6V1B1		Manuela
mTOR	ATP6V1B2		Manuela
mTOR	ATP6V1C1		Manuela
mTOR	ATP6V1C2		Manuela
mTOR	ATP6V1D		Manuela
mTOR	ATP6V1E1		Manuela
mTOR	ATP6V1E2		Manuela
mTOR	ATP6V1F		Manuela
mTOR	ATP6V1G1		Manuela
mTOR	ATP6V1G2		Manuela
mTOR	ATP6V1G3		Manuela
mTOR	ATP6V1H		Manuela
Cell cycle	ATR		Manuela
Fanconi anemia	ATR		Manuela
p53	ATR		Manuela
Fanconi anemia	ATRIP		Manuela
Phospholipase D	AVP		Manuela
Calcium	AVPR1A		Manuela
Phospholipase D	AVPR1A		Manuela
Calcium	AVPR1B		Manuela
Phospholipase D	AVPR1B		Manuela
Phospholipase D	AVPR2		Manuela
Hippo	AXIN1		Manuela
Wnt	AXIN1		Manuela
Hippo	AXIN2		Manuela
Wnt	AXIN2		Manuela
cAMP	BAD		Manuela
cGMP-PKG	BAD		Manuela
Chemokine	BAD		Manuela
ErbB	BAD		Manuela
Insulin	BAD		Manuela
PI3K-Akt	BAD		Manuela
Ras	BAD		Manuela
Thyroid hormone	BAD		Manuela
VEGF	BAD		Manuela
TNF	BAG4		Manuela
TGF-beta	BAMBI		Manuela
Wnt	BAMBI		Manuela
p53	BAX		Manuela
Sphingolipid	BAX		Manuela
Hippo	BBC3		Manuela
p53	BBC3		Manuela
Chemokine	BCAR1		Manuela
Rap1	BCAR1		Manuela
NF-kappa B	BCL10		Manuela
Estrogen	BCL2		Manuela
Hedgehog	BCL2		Manuela
HIF-1	BCL2		Manuela
JAK-STAT	BCL2		Manuela
NF-kappa B	BCL2		Manuela
p53	BCL2		Manuela
PI3K-Akt	BCL2		Manuela
Sphingolipid	BCL2		Manuela
NF-kappa B	BCL2A1		Manuela
JAK-STAT	BCL2L1		Manuela
NF-kappa B	BCL2L1		Manuela
p53	BCL2L1		Manuela
PI3K-Akt	BCL2L1		Manuela
Ras	BCL2L1		Manuela
FoxO	BCL2L11		Manuela
PI3K-Akt	BCL2L11		Manuela
TNF	BCL3		Manuela
FoxO	BCL6		Manuela
Calcium	BDKRB1		Manuela
Calcium	BDKRB2		Manuela
cGMP-PKG	BDKRB2		Manuela
Sphingolipid	BDKRB2		Manuela
cAMP	BDNF		Manuela
MAPK	BDNF		Manuela
PI3K-Akt	BDNF		Manuela
Ras	BDNF		Manuela
Apelin	BECN1		Manuela
Apelin	BECN2		Manuela
p53	BID		Manuela
Sphingolipid	BID		Manuela
Hippo	BIRC2		Manuela
NF-kappa B	BIRC2		Manuela
TNF	BIRC2		Manuela
NF-kappa B	BIRC3		Manuela
TNF	BIRC3		Manuela
Hippo	BIRC5		Manuela
Fanconi anemia	BLM		Manuela
NF-kappa B	BLNK		Manuela
Cytokine-cytokine receptor interaction	BMP10		Manuela
Cytokine-cytokine receptor interaction	BMP15		Manuela
Cytokine-cytokine receptor interaction	BMP2		Manuela
Hippo	BMP2		Manuela
TGF-beta	BMP2		Manuela
Cytokine-cytokine receptor interaction	BMP3		Manuela
Cytokine-cytokine receptor interaction	BMP4		Manuela
Hippo	BMP4		Manuela
TGF-beta	BMP4		Manuela
Thyroid hormone	BMP4		Manuela
Cytokine-cytokine receptor interaction	BMP5		Manuela
Hippo	BMP5		Manuela
TGF-beta	BMP5		Manuela
Cytokine-cytokine receptor interaction	BMP6		Manuela
Hippo	BMP6		Manuela
TGF-beta	BMP6		Manuela
Cytokine-cytokine receptor interaction	BMP7		Manuela
Hippo	BMP7		Manuela
TGF-beta	BMP7		Manuela
Cytokine-cytokine receptor interaction	BMP8A		Manuela
Hippo	BMP8A		Manuela
TGF-beta	BMP8A		Manuela
Cytokine-cytokine receptor interaction	BMP8B		Manuela
Hippo	BMP8B		Manuela
TGF-beta	BMP8B		Manuela
Cytokine-cytokine receptor interaction	BMPR1A		Manuela
Hippo	BMPR1A		Manuela
TGF-beta	BMPR1A		Manuela
Cytokine-cytokine receptor interaction	BMPR1B		Manuela
Hippo	BMPR1B		Manuela
TGF-beta	BMPR1B		Manuela
Cytokine-cytokine receptor interaction	BMPR2		Manuela
Hippo	BMPR2		Manuela
TGF-beta	BMPR2		Manuela
FoxO	BNIP3		Manuela
Hedgehog	BOC		Manuela
Apelin	BORCS8-MEF2B		Manuela
cGMP-PKG	BORCS8-MEF2B		Manuela
cAMP	BRAF		Manuela
Chemokine	BRAF		Manuela
ErbB	BRAF		Manuela
FoxO	BRAF		Manuela
Insulin	BRAF		Manuela
MAPK	BRAF		Manuela
mTOR	BRAF		Manuela
Rap1	BRAF		Manuela
Ras	BRAP		Manuela
Fanconi anemia	BRCA1		Manuela
PI3K-Akt	BRCA1		Manuela
Fanconi anemia	BRCA2		Manuela
Fanconi anemia	BRIP1		Manuela
ErbB	BTC		Manuela
NF-kappa B	BTK		Manuela
Hedgehog	BTRC		Manuela
Hippo	BTRC		Manuela
Wnt	BTRC		Manuela
Cell cycle	BUB1		Manuela
Cell cycle	BUB1B		Manuela
ErbB	BUB1B-PAK6		Manuela
Ras	BUB1B-PAK6		Manuela
Cell cycle	BUB3		Manuela
AMPK	CAB39		Manuela
mTOR	CAB39		Manuela
AMPK	CAB39L		Manuela
mTOR	CAB39L		Manuela
Calcium	CACNA1A		Manuela
MAPK	CACNA1A		Manuela
Calcium	CACNA1B		Manuela
MAPK	CACNA1B		Manuela
Calcium	CACNA1C		Manuela
cAMP	CACNA1C		Manuela
cGMP-PKG	CACNA1C		Manuela
MAPK	CACNA1C		Manuela
Calcium	CACNA1D		Manuela
cAMP	CACNA1D		Manuela
cGMP-PKG	CACNA1D		Manuela
MAPK	CACNA1D		Manuela
Calcium	CACNA1E		Manuela
MAPK	CACNA1E		Manuela
Calcium	CACNA1F		Manuela
cAMP	CACNA1F		Manuela
cGMP-PKG	CACNA1F		Manuela
MAPK	CACNA1F		Manuela
Calcium	CACNA1G		Manuela
MAPK	CACNA1G		Manuela
Calcium	CACNA1H		Manuela
MAPK	CACNA1H		Manuela
Calcium	CACNA1I		Manuela
MAPK	CACNA1I		Manuela
Calcium	CACNA1S		Manuela
cAMP	CACNA1S		Manuela
cGMP-PKG	CACNA1S		Manuela
MAPK	CACNA1S		Manuela
MAPK	CACNA2D1		Manuela
MAPK	CACNA2D2		Manuela
MAPK	CACNA2D3		Manuela
MAPK	CACNA2D4		Manuela
MAPK	CACNB1		Manuela
MAPK	CACNB2		Manuela
MAPK	CACNB3		Manuela
MAPK	CACNB4		Manuela
MAPK	CACNG1		Manuela
MAPK	CACNG2		Manuela
MAPK	CACNG3		Manuela
MAPK	CACNG4		Manuela
MAPK	CACNG5		Manuela
MAPK	CACNG6		Manuela
MAPK	CACNG7		Manuela
MAPK	CACNG8		Manuela
Wnt	CACYBP		Manuela
Apelin	CALM1		Manuela
Calcium	CALM1		Manuela
cAMP	CALM1		Manuela
cGMP-PKG	CALM1		Manuela
Estrogen	CALM1		Manuela
Insulin	CALM1		Manuela
Phosphatidylinositol signaling system	CALM1		Manuela
Rap1	CALM1		Manuela
Ras	CALM1		Manuela
Apelin	CALM2		Manuela
Calcium	CALM2		Manuela
cAMP	CALM2		Manuela
cGMP-PKG	CALM2		Manuela
Estrogen	CALM2		Manuela
Insulin	CALM2		Manuela
Phosphatidylinositol signaling system	CALM2		Manuela
Rap1	CALM2		Manuela
