TERM	SYMBOL	CATEGORY	LIST
BLCA	PPT2		Compendium
BLCA	PREX2		Compendium
BLCA	PSIP1		Compendium
BLCA	PTEN		Compendium
BLCA	RAF1		Compendium
BLCA	RB1		Compendium
BLCA	RBM10		Compendium
BLCA	RHOA		Compendium
BLCA	RNF213		Compendium
BLCA	RXRA		Compendium
BLCA	SETD2		Compendium
BLCA	SF3B1		Compendium
BLCA	SMARCA4		Compendium
BLCA	STAG2		Compendium
BLCA	TAF15		Compendium
BLCA	TP53		Compendium
BLCA	TP63		Compendium
BLCA	TRIP11		Compendium
BLCA	TRRAP		Compendium
BLCA	TSC1		Compendium
BLCA	TSC2		Compendium
BLCA	WDR45		Compendium
BLCA	ZFHX3		Compendium
BLCA	ZFP36L1		Compendium
BLCA	ZNF429		Compendium
BLY	ARID1A		Compendium
BLY	CARD11		Compendium
BLY	CCND3		Compendium
BLY	DDX3X		Compendium
BLY	FBXO11		Compendium
BLY	FOXO1		Compendium
BLY	MYC		Compendium
BLY	P2RY8		Compendium
BLY	RHOA		Compendium
BLY	SMARCA4		Compendium
BLY	TFAP4		Compendium
BLY	TP53		Compendium
BRCA	ABL2		Compendium
BRCA	AFF3		Compendium
BRCA	AKT1		Compendium
BRCA	ALK		Compendium
BRCA	ARHGEF12		Compendium
BRCA	ARID1A		Compendium
BRCA	ARID1B		Compendium
BRCA	ASXL1		Compendium
BRCA	ATM		Compendium
BRCA	BAP1		Compendium
BRCA	BRAF		Compendium
BRCA	BRCA1		Compendium
BRCA	BRCA2		Compendium
BRCA	CACNA1D		Compendium
BRCA	CASP8		Compendium
BRCA	CBFB		Compendium
BRCA	CDH1		Compendium
BRCA	CDKN1B		Compendium
BRCA	CDKN2A		Compendium
BRCA	CLTC		Compendium
BRCA	CREBBP		Compendium
BRCA	CTCF		Compendium
BRCA	CUX1		Compendium
BRCA	DDX3X		Compendium
BRCA	EGFR		Compendium
BRCA	ELN		Compendium
BRCA	EPAS1		Compendium
BRCA	EPHA3		Compendium
BRCA	ERBB2		Compendium
BRCA	ERBB3		Compendium
BRCA	ERBB4		Compendium
BRCA	ESR1		Compendium
BRCA	ETV5		Compendium
BRCA	FAT1		Compendium
BRCA	FAT3		Compendium
BRCA	FAT4		Compendium
BRCA	FBXW7		Compendium
BRCA	FGFR2		Compendium
BRCA	FOXA1		Compendium
BRCA	GATA1		Compendium
BRCA	GATA3		Compendium
BRCA	GNAS		Compendium
BRCA	GRIN2A		Compendium
BRCA	HIST1H3B		Compendium
BRCA	HOXC13		Compendium
BRCA	HOXD13		Compendium
BRCA	HRAS		Compendium
BRCA	HSP90AA1		Compendium
BRCA	JAK2		Compendium
BRCA	KAT6B		Compendium
BRCA	KDM6A		Compendium
BRCA	KLF4		Compendium
BRCA	KMT2C		Compendium
BRCA	KMT2D		Compendium
BRCA	KRAS		Compendium
BRCA	LRP1B		Compendium
BRCA	MAP2K4		Compendium
BRCA	MAP3K1		Compendium
BRCA	MAX		Compendium
BRCA	MDM4		Compendium
BRCA	MEN1		Compendium
BRCA	MTOR		Compendium
BRCA	MYH11		Compendium
BRCA	MYH9		Compendium
BRCA	MYO5A		Compendium
BRCA	NCOA1		Compendium
BRCA	NCOR1		Compendium
BRCA	NCOR2		Compendium
BRCA	NF1		Compendium
BRCA	NIN		Compendium
BRCA	NONO		Compendium
BRCA	NOTCH2		Compendium
BRCA	NTRK1		Compendium
BRCA	NUMA1		Compendium
BRCA	PDGFRB		Compendium
BRCA	PIK3CA		Compendium
BRCA	PIK3R1		Compendium
BRCA	PLAG1		Compendium
BRCA	POLD1		Compendium
BRCA	PREX2		Compendium
BRCA	PTEN		Compendium
BRCA	PTPN13		Compendium
BRCA	PTPRD		Compendium
BRCA	RB1		Compendium
BRCA	RGS7		Compendium
BRCA	RHPN2		Compendium
BRCA	RUNX1		Compendium
BRCA	SALL4		Compendium
BRCA	SF3B1		Compendium
BRCA	SMAD2		Compendium
BRCA	SMAD4		Compendium
BRCA	SMARCD1		Compendium
BRCA	SPEN		Compendium
BRCA	TBX3		Compendium
BRCA	TP53		Compendium
BRCA	USP6		Compendium
BRCA	ZBTB16		Compendium
BRCA	ZFHX3		Compendium
BRCA	ZXDB		Compendium
CESC	AKT1		Compendium
CESC	ARID1A		Compendium
CESC	B2M		Compendium
CESC	BAP1		Compendium
CESC	CASP8		Compendium
CESC	CBFA2T3		Compendium
CESC	CDK12		Compendium
CESC	CLIP1		Compendium
CESC	COL1A1		Compendium
CESC	EIF3E		Compendium
CESC	EP300		Compendium
CESC	ERBB2		Compendium
CESC	ERBB3		Compendium
CESC	FAS		Compendium
CESC	FAT1		Compendium
CESC	FBXW7		Compendium
CESC	HLA-A		Compendium
CESC	HLA-B		Compendium
CESC	IFNGR1		Compendium
CESC	KLF5		Compendium
CESC	KMT2C		Compendium
CESC	KMT2D		Compendium
CESC	KRAS		Compendium
CESC	LATS1		Compendium
CESC	MAP3K1		Compendium
CESC	MAPK1		Compendium
CESC	MED12		Compendium
CESC	NF2		Compendium
CESC	NFE2L2		Compendium
CESC	NOTCH1		Compendium
CESC	NSD1		Compendium
CESC	PBRM1		Compendium
CESC	PIK3CA		Compendium
CESC	POLE		Compendium
CESC	POLQ		Compendium
CESC	PTEN		Compendium
CESC	RB1		Compendium
CESC	SIRPA		Compendium
CESC	SMAD4		Compendium
CESC	SPEN		Compendium
CESC	SRSF2		Compendium
CESC	STIL		Compendium
CESC	STK11		Compendium
CESC	TGFBR2		Compendium
CESC	TP53		Compendium
