TERM	SYMBOL	CATEGORY	LIST
Memory B cell	FCRL4	Adaptive	Immunome
Memory B cell	MYC	Adaptive	Immunome
Memory B cell	RUNX2	Adaptive	Immunome
Memory B cell	SORL1	Adaptive	Immunome
Memory B cell	SOX5	Adaptive	Immunome
Memory B cell	STAT5A	Adaptive	Immunome
Memory B cell	STAT5B	Adaptive	Immunome
Memory B cell	TLR9	Adaptive	Immunome
Monocyte	ASGR2	Innate	Immunome
Monocyte	CFP	Innate	Immunome
Monocyte	ASGR1	Innate	Immunome
Monocyte	CD1D	Innate	Immunome
Monocyte	UPK3A	Innate	Immunome
Monocyte	ACTG1	Innate	Immunome
Monocyte	ANXA5	Innate	Immunome
Monocyte	ATP6V1B2	Innate	Immunome
Monocyte	CFL1	Innate	Immunome
Monocyte	DAZAP2	Innate	Immunome
Monocyte	CTBS	Innate	Immunome
Monocyte	EMR4P	Innate	Immunome
Monocyte	HIVEP2	Innate	Immunome
Monocyte	MARCKSL1	Innate	Immunome
Monocyte	MBP	Innate	Immunome
Monocyte	MMP15	Innate	Immunome
Monocyte	PNPLA6	Innate	Immunome
Monocyte	TMBIM6	Innate	Immunome
Monocyte	PQBP1	Innate	Immunome
Monocyte	TEX264	Innate	Immunome
Monocyte	IKZF1	Innate	Immunome
Natural killer cell	AKT3	Innate	Immunome
Natural killer cell	AXL	Innate	Immunome
Natural killer cell	BST2	Innate	Immunome
Natural killer cell	CDH2	Innate	Immunome
Natural killer cell	CRTAM	Innate	Immunome
Natural killer cell	CSF2RA	Innate	Immunome
Natural killer cell	CTSZ	Innate	Immunome
Natural killer cell	CXCL1	Innate	Immunome
Natural killer cell	CYTH1	Innate	Immunome
Natural killer cell	DAXX	Innate	Immunome
Natural killer cell	DGKH	Innate	Immunome
Natural killer cell	DLL4	Innate	Immunome
Natural killer cell	DPYD	Innate	Immunome
Natural killer cell	ERBB3	Innate	Immunome
Natural killer cell	F11R	Innate	Immunome
Natural killer cell	FAM27A	Innate	Immunome
Natural killer cell	FAM49A	Innate	Immunome
Natural killer cell	FASLG	Innate	Immunome
Natural killer cell	FCGR1A	Innate	Immunome
Natural killer cell	FN1	Innate	Immunome
Natural killer cell	FSTL1	Innate	Immunome
Natural killer cell	FUCA1	Innate	Immunome
Natural killer cell	GBP3	Innate	Immunome
Natural killer cell	GLS2	Innate	Immunome
Natural killer cell	GRB2	Innate	Immunome
Natural killer cell	LST1	Innate	Immunome
Natural killer cell	BCL2	Innate	Immunome
Natural killer cell	CDC5L	Innate	Immunome
Natural killer cell	FGF18	Innate	Immunome
Natural killer cell	FUT5	Innate	Immunome
Natural killer cell	FZR1	Innate	Immunome
Natural killer cell	GAGE2	Innate	Immunome
Natural killer cell	IGFBP5	Innate	Immunome
Natural killer cell	KANK2	Innate	Immunome
Natural killer cell	LDB3	Innate	Immunome
Natural killer T cell	BTN2A2	Innate	Immunome
Natural killer T cell	CD101	Innate	Immunome
Natural killer T cell	CD109	Innate	Immunome
Natural killer T cell	CNPY3	Innate	Immunome
Natural killer T cell	CNPY4	Innate	Immunome
Natural killer T cell	CREB1	Innate	Immunome
Natural killer T cell	CRTC2	Innate	Immunome
Natural killer T cell	CRTC3	Innate	Immunome
Natural killer T cell	CSF2	Innate	Immunome
Natural killer T cell	KLRC1	Innate	Immunome
Natural killer T cell	FUT4	Innate	Immunome
Natural killer T cell	ICAM2	Innate	Immunome
Natural killer T cell	IL32	Innate	Immunome
Natural killer T cell	LAMP2	Innate	Immunome
Natural killer T cell	LILRB5	Innate	Immunome
Natural killer T cell	KLRG1	Innate	Immunome
Natural killer T cell	HSPA4	Innate	Immunome
Natural killer T cell	HSPB6	Innate	Immunome
Natural killer T cell	ISM2	Innate	Immunome
Natural killer T cell	ITIH2	Innate	Immunome
Natural killer T cell	KDM4C	Innate	Immunome
Natural killer T cell	KIR2DS4	Innate	Immunome
Natural killer T cell	KIRREL3	Innate	Immunome
Natural killer T cell	SDCBP	Innate	Immunome
Natural killer T cell	NFATC2IP	Innate	Immunome
Natural killer T cell	MICB	Innate	Immunome
Natural killer T cell	KIR2DL1	Innate	Immunome
Natural killer T cell	KIR2DL3	Innate	Immunome
Natural killer T cell	KIR3DL1	Innate	Immunome
Natural killer T cell	KIR3DL2	Innate	Immunome
Natural killer T cell	NCR1	Innate	Immunome
Natural killer T cell	FOSL1	Innate	Immunome
Natural killer T cell	TSLP	Innate	Immunome
Natural killer T cell	SLC7A7	Innate	Immunome
Natural killer T cell	SPP1	Innate	Immunome
Natural killer T cell	TREM2	Innate	Immunome
Natural killer T cell	UBASH3A	Innate	Immunome
Natural killer T cell	YBX2	Innate	Immunome
