TERM	SYMBOL	CATEGORY	LIST
iDC	CH25H		Senbabaoglu
iDC	CLEC10A		Senbabaoglu
iDC	CSF1R		Senbabaoglu
iDC	CTNS		Senbabaoglu
iDC	DCSTAMP		Senbabaoglu
iDC	F13A1		Senbabaoglu
iDC	FABP4		Senbabaoglu
iDC	FZD2		Senbabaoglu
iDC	GSTT1		Senbabaoglu
iDC	GUCA1A		Senbabaoglu
iDC	HS3ST2		Senbabaoglu
iDC	LMAN2L		Senbabaoglu
iDC	MMP12		Senbabaoglu
iDC	MMP12		Senbabaoglu
iDC	MS4A6A		Senbabaoglu
iDC	NUDT9		Senbabaoglu
iDC	PDXK		Senbabaoglu
iDC	PPARG		Senbabaoglu
iDC	PREP		Senbabaoglu
iDC	RAP1GAP		Senbabaoglu
iDC	SLC26A6		Senbabaoglu
iDC	SLC7A8		Senbabaoglu
iDC	SYT17		Senbabaoglu
iDC	TACSTD2		Senbabaoglu
iDC	VASH1		Senbabaoglu
Macrophages	ATG7		Senbabaoglu
Macrophages	MARCO		Senbabaoglu
Macrophages	CHI3L1		Senbabaoglu
Macrophages	CHIT1		Senbabaoglu
Macrophages	KAL1		Senbabaoglu
Macrophages	MSR1		Senbabaoglu
Macrophages	CD163		Senbabaoglu
Macrophages	RAI14		Senbabaoglu
Macrophages	CLEC5A		Senbabaoglu
Macrophages	FDX1		Senbabaoglu
Macrophages	MS4A4A		Senbabaoglu
Macrophages	SCG5		Senbabaoglu
Macrophages	CLEC5A		Senbabaoglu
Macrophages	CXCL5		Senbabaoglu
Macrophages	CTSK		Senbabaoglu
Macrophages	CYBB		Senbabaoglu
Macrophages	SCARB2		Senbabaoglu
Macrophages	SULT1C2		Senbabaoglu
Macrophages	PCOLCE2		Senbabaoglu
Macrophages	COLEC12		Senbabaoglu
Macrophages	SGMS1		Senbabaoglu
Macrophages	ME1		Senbabaoglu
Macrophages	PTGDS		Senbabaoglu
Macrophages	GPC4		Senbabaoglu
Macrophages	DNASE2B		Senbabaoglu
Macrophages	EMP1		Senbabaoglu
Macrophages	GM2A		Senbabaoglu
Macrophages	CCL7		Senbabaoglu
Macrophages	COL8A2		Senbabaoglu
Macrophages	FN1		Senbabaoglu
Macrophages	BCAT1		Senbabaoglu
Macrophages	CD68		Senbabaoglu
Macrophages	CD84		Senbabaoglu
Macrophages	CYBB		Senbabaoglu
Mast cells	HDC		Senbabaoglu
Mast cells	LINC01140		Senbabaoglu
Mast cells	CEACAM8		Senbabaoglu
Mast cells	TAL1		Senbabaoglu
Mast cells	MS4A2		Senbabaoglu
Mast cells	TPSB2		Senbabaoglu
Mast cells	TPSAB1		Senbabaoglu
Mast cells	HPGD		Senbabaoglu
Mast cells	NR0B1		Senbabaoglu
Mast cells	SLC18A2		Senbabaoglu
Mast cells	MAOB		Senbabaoglu
Mast cells	ADCYAP1		Senbabaoglu
Mast cells	SLC24A3		Senbabaoglu
Mast cells	CALB2		Senbabaoglu
Mast cells	MPO		Senbabaoglu
Mast cells	ABCC4		Senbabaoglu
Mast cells	CPA3		Senbabaoglu
Mast cells	MLPH		Senbabaoglu
Mast cells	VWA5A		Senbabaoglu
Mast cells	SIGLEC6		Senbabaoglu
Mast cells	PPM1H		Senbabaoglu
Mast cells	KIT		Senbabaoglu
Mast cells	SCG2		Senbabaoglu
Mast cells	HPGDS		Senbabaoglu
Mast cells	PRG2		Senbabaoglu
Mast cells	PTGS1		Senbabaoglu
Mast cells	GATA2		Senbabaoglu
Mast cells	CMA1		Senbabaoglu
Mast cells	CTSG		Senbabaoglu
Neutrophils	SLC22A4		Senbabaoglu
Neutrophils	FCAR		Senbabaoglu
Neutrophils	CEACAM3		Senbabaoglu
Neutrophils	MGAM		Senbabaoglu
Neutrophils	MGAM		Senbabaoglu
Neutrophils	KCNJ15		Senbabaoglu
Neutrophils	CXCR2		Senbabaoglu
Neutrophils	CXCR1		Senbabaoglu
Neutrophils	G0S2		Senbabaoglu
Neutrophils	HIST1H2BC		Senbabaoglu
Neutrophils	DYSF		Senbabaoglu
Neutrophils	S100A12		Senbabaoglu
Neutrophils	PDE4B		Senbabaoglu
Neutrophils	CD93		Senbabaoglu
Neutrophils	TNFRSF10C		Senbabaoglu
Neutrophils	SLC25A37		Senbabaoglu
Neutrophils	TECPR2		Senbabaoglu
Neutrophils	HPSE		Senbabaoglu
Neutrophils	CRISPLD2		Senbabaoglu
Neutrophils	SIGLEC5		Senbabaoglu
Neutrophils	SIGLEC5		Senbabaoglu
Neutrophils	FPR1		Senbabaoglu
Neutrophils	FPR2		Senbabaoglu
Neutrophils	MME		Senbabaoglu
Neutrophils	BST1		Senbabaoglu
Neutrophils	CYP4F3		Senbabaoglu
Neutrophils	CSF3R		Senbabaoglu
Neutrophils	LILRB2		Senbabaoglu
Neutrophils	CREB5		Senbabaoglu
Neutrophils	VNN3		Senbabaoglu
Neutrophils	ALPL		Senbabaoglu
Neutrophils	FCGR3B		Senbabaoglu
Neutrophils	LILRB2		Senbabaoglu
Neutrophils	FCAR		Senbabaoglu
Neutrophils	CEACAM3		Senbabaoglu
Neutrophils	FCAR		Senbabaoglu
Neutrophils	FCAR		Senbabaoglu
NK CD56bright	MARCH6		Senbabaoglu
NK CD56bright	LPCAT4		Senbabaoglu
NK CD56bright	PLA2G6		Senbabaoglu
NK CD56bright	FOXJ1		Senbabaoglu
NK CD56bright	ETFA		Senbabaoglu
NK CD56bright	MPPED1		Senbabaoglu
NK CD56bright	DUSP4		Senbabaoglu
NK CD56bright	RRAD		Senbabaoglu
NK CD56bright	TRAPPC9		Senbabaoglu
NK CD56bright	XCL1		Senbabaoglu
NK CD56dim	PMEPA1		Senbabaoglu
NK CD56dim	KIR3DL2		Senbabaoglu
NK CD56dim	SPON2		Senbabaoglu
NK CD56dim	S1PR5		Senbabaoglu
NK CD56dim	KIR3DL2		Senbabaoglu
NK CD56dim	TTC38		Senbabaoglu
NK CD56dim	KIR3DL1		Senbabaoglu
NK CD56dim	KIR3DL3		Senbabaoglu
NK CD56dim	KIR2DL3		Senbabaoglu
NK CD56dim	GZMB		Senbabaoglu
NK CD56dim	IL21R		Senbabaoglu
NK CD56dim	GTF3C1		Senbabaoglu
NK CD56dim	KIR3DL1		Senbabaoglu
NK CD56dim	KIR3DL3		Senbabaoglu
NK CD56dim	KIR2DL3		Senbabaoglu
NK CD56dim	KIR3DL2		Senbabaoglu
NK CD56dim	KIR3DL2		Senbabaoglu
NK CD56dim	KIR3DL3		Senbabaoglu
NK CD56dim	KIR2DL3		Senbabaoglu
NK CD56dim	KIR2DS5		Senbabaoglu
NK CD56dim	KIR3DL2		Senbabaoglu
NK CD56dim	KIR2DS2		Senbabaoglu
NK CD56dim	KIR3DL3		Senbabaoglu
NK CD56dim	KIR3DL3		Senbabaoglu
NK CD56dim	KIR3DL2		Senbabaoglu
NK CD56dim	KIR3DL1		Senbabaoglu
NK CD56dim	KIR3DL3		Senbabaoglu
NK CD56dim	KIR2DL3		Senbabaoglu
NK CD56dim	KIR3DL2		Senbabaoglu
NK CD56dim	KIR2DS1		Senbabaoglu
NK cells	SLC30A5		Senbabaoglu
NK cells	PDLIM4		Senbabaoglu
NK cells	MRC2		Senbabaoglu
NK cells	LDB3		Senbabaoglu
NK cells	NCR1		Senbabaoglu
NK cells	CDC5L		Senbabaoglu
NK cells	SPN		Senbabaoglu
NK cells	GAGE2A		Senbabaoglu
NK cells	PRX		Senbabaoglu
NK cells	IGFBP5		Senbabaoglu
NK cells	TRPV6		Senbabaoglu
NK cells	MAPRE3		Senbabaoglu
NK cells	TRPV6		Senbabaoglu
NK cells	PSMD4		Senbabaoglu
NK cells	ZNF747		Senbabaoglu
NK cells	ZNF747		Senbabaoglu
NK cells	BCL2		Senbabaoglu
NK cells	SGMS1		Senbabaoglu
NK cells	ALDH1B1		Senbabaoglu
NK cells	ZNF205		Senbabaoglu
NK cells	ADARB1		Senbabaoglu
NK cells	APBB2		Senbabaoglu
NK cells	FGF18		Senbabaoglu
NK cells	KANK2		Senbabaoglu
NK cells	MCM3AP		Senbabaoglu
NK cells	ATL2		Senbabaoglu
NK cells	TINAGL1		Senbabaoglu
NK cells	TCTN2		Senbabaoglu
NK cells	SMEK1		Senbabaoglu
NK cells	ZNF528		Senbabaoglu
NK cells	FZR1		Senbabaoglu
NK cells	TBXA2R		Senbabaoglu
NK cells	FUT5		Senbabaoglu
NK cells	XCL2		Senbabaoglu
NK cells	XCL1		Senbabaoglu
NK cells	NCR1		Senbabaoglu
NK cells	GAGE2A		Senbabaoglu
NK cells	NCR1		Senbabaoglu
NK cells	NCR1		Senbabaoglu
NK cells	NCR1		Senbabaoglu
NK cells	NCR1		Senbabaoglu
NK cells	NCR1		Senbabaoglu
NK cells	NCR1		Senbabaoglu
NK cells	NCR1		Senbabaoglu
NK cells	NCR1		Senbabaoglu
pDC	IL3RA		Senbabaoglu
T cells	GIMAP5		Senbabaoglu
T cells	TRBC1		Senbabaoglu
T cells	BCL11B		Senbabaoglu
T cells	CD6		Senbabaoglu
T cells	ITM2A		Senbabaoglu
T cells	SKAP1		Senbabaoglu
T cells	SH2D1A		Senbabaoglu
T cells	CD28		Senbabaoglu
T cells	CD3E		Senbabaoglu
